,review,sentiment
0,  I saw many negative reviews and I was skeptical about buying this. But I ordered it just for guided side cover.I just recently had a major operation for broken hand and I wasnt sure if I could fix it myself.But ESR has made it so easy that even I could get it placed properly.Although I got 2 bubbles but then I went to youtube and found a guide in esr channel and just lifted the glass once to fix both of them perfectly.The fit is amazing and the cleaning kit works really well make sure fans are switched off.The glass cover is amazing it feels great just like the ipad pro. I never felt any difference as compared to using the ipad without cover. I hope it clears your doubt and give u some positivity towards buying it.,Positive
1,"  I browsed a lot to get a good screen protector and ultimately decided to buy this one. I was skeptical till I applied it to my ipad pro 11"" 2020 .*I am very happy after installation*Guiding frame helped in easing the process. Cleaned the work area and placed my gadget elevated to let frame embrace ipad pro body  firmly all-around.Frame gave support to one end of screen protector then I laid it carefully looking at the trail of adhesive seen between ipad screen and protector.Not even a single air bubble is seen.By God's grace dust didn't create any problem though I applied in a room with fan off.Frame  helped in placing equidistantly from all corners. Protector is little bit smaller from the actual screen so edges of cover will not lift it up. Area left uncovered by screen will be covered by the lips of the cover.I knew that it will have glare problem,smudges... but, I wanted safety.Regarding scratching I can't review ..it's the very first day of application.Apple Pencil works efficiently..just as it does on bare screen.Face Id working perfectly.Relieved from worry regarding screen protection .",Positive
2,"  The screen protector is easy to install and is a total steal deal for the price you are paying. I have been using a lot of products from ESR lately and much to me surprise, all of these products have been extremely useful, very well built and an absolute value for money.The cleaning kit works well and so does the frame which is provided to help you align the glass.The only problem with the screen protector is the fact that it is too glossy but that is understandable since it is a tempered glass! This is evident from the photo I have uploaded with this review but let this not stop you from purchasing this.Apple pencil works just fine for daily scribbling but if you are a pro artist, I would recommend taking the paper like protector instead of these glass protectors.",Positive
3,                    The media could not be loaded.,Neutral
4,                ,Neutral
5,"   So I have tried to install a lot of tempered glasses for my mobiles in the past but used to encounter some issues or the other; ultimately going outside to install it. The installation of this one is super easy. As you can see my ipad has 0 bubbles has been installed straight.One other thing, people say that this is a finger print magnet which is not the case as you can see but will find out after some use as well.",Positive
6,"  The install system is flawless. You clean your device, use the sticker to remove dust, and follow the instructions but overall easy, especially compared to freehand. Just watch the video. Perfect size/fit. The protector covers the whole screen but leaves just enough space from the edge of the iPad so that a case can be used. Clear and feels excellent with smooth edges. No effect with responsiveness/sensitivity of the screen whether I’m using my finger or the Apple Pencil, and it doesn't affect the using the iPad in any way (touch, pencil, or magic keyboard) too.5/5 easily, would buy again and will buy from ESR again for other devices.",Positive
7,"  I installed the way it instructed, but still problem with corners.. corners are not sticking well with screen. I dont know you guys have sent me waste product or what but i ordered it and installed same day I received and wiriting review on the same day.Complete waste of money for me, i saw the reviews and ordered but product was not up to the mark.",Nagative
8,"  MY LIKES ABOUT THE PRODUCT1. Very Durable.2. Easy to apply.3. Reasonably Priced.4. 2 Screen Protectors in the box.5. No compromise in Screen Quality.6. Apple Pencil works without problems.CONS:If you game on your screen a lot the oleophobic coating will wear off and make spots on the screen. It is very common with any screen or tempered glasses but should be taken notice of.Note: in the picture you might see a rainbow effect, that is very common in tempered glass protectors. ESR screen protector has very less rainbow effect compared to other screen protectors that I have used. You need to see it at angles and try to look for it, in normal usage you will not notice it at all.My Opinion:Go fot it.",Nagative
9,"  First of all the item was delivered within 24 hours of ordering so big thanks to Seller and Amazon. The box of the screen protector has reinforcement inside it but still good to adequate packing which was maintained by the seller.Pros:1. Item exactly as described.2. The installation kit is a blessing and makes you apply the screen protector like a pro.3.  Size is perfect so no issues with case covers of any type. I have 2 case cover both fit perfectly with the screen protector.4. Bubble free installation.5. Price is comparatively lower than the USA and China.6. Has 2 screen protector which is great for the price and brand name.Cons:1. Highly reflective.2. Fingerprint and dust magnet.3. If you planning to get an apple pencil, this is a bad choice for drawing and writing.Hope ESR_India will soon sell ESR paper feel screen protector.",Positive
